Domain,Stakeholder,Metric Area,Question Type,Question,Answer Options
 Funding Organisation , Grant Recipients, Funding Impact , Text response, Can you describe in your own words the impact of the funding you received from our organization?,
 Funding Organisation , Grant Recipients, Funding Impact , Numerical, How much funding have you received from our organization? ,
 Funding Organisation , Grant Recipients, Funding Impact , Single-select, How would you rate the impact of the funding you received from our organization?," No impact, Minor impact, Moderate impact, Major impact, Transformative impact "
 Funding Organisation , Grant Recipients, Funding Impact , Yes or no, Have you received funding from our organization?," Yes, No"
 Funding Organisation , Grant Recipients, Funding Impact , Date, When did you first receive funding from our organization? ,
 Funding Organisation , Grant Recipients, Funding Impact , Sliding scale," On a scale of 1 to 10, how would you rate the importance of the funding you received from our organization for your project or program?", 1-10 
 Funding Organisation , Grant Recipients, Application Process, Text response, Can you describe in your own words your experience with our grant application process?,
 Funding Organisation , Grant Recipients, Application Process, Numerical, How many times have you applied for a grant from our organization?,
 Funding Organisation , Grant Recipients, Application Process, Single-select, How would you rate your experience with our grant application process?," Very poor, Poor, Average, Good, Excellent"
 Funding Organisation , Grant Recipients, Application Process, Yes or no, Have you applied for a grant from our organization?," Yes, No"
 Funding Organisation , Grant Recipients, Application Process, Date, When did you first apply for a grant from our organization?,
 Funding Organisation , Grant Recipients, Application Process, Sliding scale," On a scale of 1 to 10, how would you rate the ease of our grant application process?", 1-10 
 Funding Organisation , Grant Recipients, Grant Management, Text response, Can you describe in your own words your experience with our grant management process? ,
 Funding Organisation , Grant Recipients, Grant Management, Numerical, How many grants have you managed from our organization?,
 Funding Organisation , Grant Recipients, Grant Management, Single-select, How would you rate your experience with our grant management process? ," Very poor, Poor, Average, Good, Excellent"
 Funding Organisation , Grant Recipients, Grant Management, Yes or no, Have you managed a grant from our organization?," Yes, No"
 Funding Organisation , Grant Recipients, Grant Management, Date, When did you first start managing a grant from our organization?,
 Funding Organisation , Grant Recipients, Grant Management, Sliding scale," On a scale of 1 to 10, how would you rate the efficiency of our grant management process? ", 1-10 
